date       ,state   ,district ,pincode ,bio_age_5_17 ,bio_age_17_
10-06-2025 ,Haryana ,Hisar    , 125005 ,           4 ,          6
10-06-2025 ,Haryana ,Hisar    , 125033 ,          16 ,         47
10-06-2025 ,Haryana ,Hisar    , 125038 ,           1 ,          5
17-06-2025 ,Haryana ,Hisar    , 125033 ,          25 ,         44
17-06-2025 ,Haryana ,Hisar    , 125044 ,           2 ,          6
16-06-2025 ,Haryana ,Hisar    , 125006 ,           1 ,          3
15-06-2025 ,Haryana ,Hisar    , 125052 ,           0 ,          1
14-06-2025 ,Haryana ,Hisar    , 125005 ,           1 ,          0
14-06-2025 ,Haryana ,Hisar    , 125047 ,           0 ,          2
14-06-2025 ,Haryana ,Hisar    , 125052 ,           6 ,         12
14-06-2025 ,Haryana ,Hisar    , 125053 ,           0 ,          1
11-06-2025 ,Haryana ,Hisar    , 125005 ,           1 ,          3
11-06-2025 ,Haryana ,Hisar    , 125037 ,           0 ,          5
11-06-2025 ,Haryana ,Hisar    , 125052 ,           6 ,         22
11-06-2025 ,Haryana ,Hisar    , 125113 ,           2 ,          5
12-06-2025 ,Haryana ,Hisar    , 125001 ,          44 ,         91
12-06-2025 ,Haryana ,Hisar    , 125042 ,           6 ,         18
12-06-2025 ,Haryana ,Hisar    , 125113 ,           7 ,         14
13-06-2025 ,Haryana ,Hisar    , 125037 ,           0 ,          2
09-06-2025 ,Haryana ,Hisar    , 125037 ,           1 ,          7
09-06-2025 ,Haryana ,Hisar    , 125042 ,           7 ,         16
09-06-2025 ,Haryana ,Hisar    , 125048 ,           0 ,          2
09-06-2025 ,Haryana ,Hisar    , 125049 ,           1 ,          4
09-06-2025 ,Haryana ,Hisar    , 125113 ,          12 ,         32
18-06-2025 ,Haryana ,Hisar    , 125004 ,           2 ,          2
18-06-2025 ,Haryana ,Hisar    , 125006 ,           1 ,          3
18-06-2025 ,Haryana ,Hisar    , 125049 ,           1 ,          3
06-07-2025 ,Haryana ,Hisar    , 125039 ,           3 ,          0
06-07-2025 ,Haryana ,Hisar    , 125044 ,           3 ,          1
06-07-2025 ,Haryana ,Hisar    , 125047 ,           1 ,          1
07-07-2025 ,Haryana ,Hisar    , 125037 ,           2 ,          1
07-07-2025 ,Haryana ,Hisar    , 125044 ,           5 ,          4
07-07-2025 ,Haryana ,Hisar    , 125047 ,           6 ,          7
07-07-2025 ,Haryana ,Hisar    , 125112 ,           3 ,          5
08-07-2025 ,Haryana ,Hisar    , 125037 ,           2 ,          8
08-07-2025 ,Haryana ,Hisar    , 125044 ,           6 ,          7
08-07-2025 ,Haryana ,Hisar    , 125050 ,           0 ,          1
08-07-2025 ,Haryana ,Hisar    , 125052 ,          25 ,         40
23-06-2025 ,Haryana ,Hisar    , 125037 ,           2 ,          3
23-06-2025 ,Haryana ,Hisar    , 125113 ,           8 ,         27
22-06-2025 ,Haryana ,Hisar    , 125001 ,           3 ,          8
22-06-2025 ,Haryana ,Hisar    , 125042 ,           1 ,          2
22-06-2025 ,Haryana ,Hisar    , 125052 ,           2 ,          0
21-06-2025 ,Haryana ,Hisar    , 125004 ,           0 ,          1
21-06-2025 ,Haryana ,Hisar    , 125033 ,          16 ,         38
21-06-2025 ,Haryana ,Hisar    , 125048 ,           0 ,          1
21-06-2025 ,Haryana ,Hisar    , 125113 ,           2 ,          4
24-06-2025 ,Haryana ,Hisar    , 125006 ,           1 ,          5
24-06-2025 ,Haryana ,Hisar    , 125033 ,           9 ,         43
09-07-2025 ,Haryana ,Hisar    , 125004 ,          16 ,         12
09-07-2025 ,Haryana ,Hisar    , 125047 ,          11 ,          7
09-07-2025 ,Haryana ,Hisar    , 125112 ,           9 ,          6
10-07-2025 ,Haryana ,Hisar    , 125005 ,           1 ,          5
10-07-2025 ,Haryana ,Hisar    , 125006 ,           0 ,          2
10-07-2025 ,Haryana ,Hisar    , 125037 ,           5 ,          9
10-07-2025 ,Haryana ,Hisar    , 125038 ,           2 ,          4
10-07-2025 ,Haryana ,Hisar    , 125050 ,           1 ,          1
27-07-2025 ,Haryana ,Hisar    , 125005 ,           0 ,          1
27-07-2025 ,Haryana ,Hisar    , 125033 ,          14 ,          1
27-07-2025 ,Haryana ,Hisar    , 125042 ,           2 ,          0
27-07-2025 ,Haryana ,Hisar    , 125049 ,          47 ,         17
26-07-2025 ,Haryana ,Hisar    , 125033 ,          22 ,          8
26-07-2025 ,Haryana ,Hisar    , 125038 ,           0 ,          2
26-07-2025 ,Haryana ,Hisar    , 125112 ,           0 ,          1
01-08-2025 ,Haryana ,Hisar    , 125033 ,         117 ,         52
01-08-2025 ,Haryana ,Hisar    , 125042 ,          15 ,          7
01-08-2025 ,Haryana ,Hisar    , 125047 ,          10 ,          8
01-08-2025 ,Haryana ,Hisar    , 125052 ,          40 ,         38
01-08-2025 ,Haryana ,Hisar    , 125113 ,          14 ,         24
25-07-2025 ,Haryana ,Hisar    , 125037 ,           7 ,          4
25-07-2025 ,Haryana ,Hisar    , 125049 ,           1 ,          9
25-07-2025 ,Haryana ,Hisar    , 125050 ,           1 ,          1
25-07-2025 ,Haryana ,Hisar    , 125113 ,          26 ,         28
24-07-2025 ,Haryana ,Hisar    , 125001 ,         120 ,        114
24-07-2025 ,Haryana ,Hisar    , 125004 ,           6 ,         12
24-07-2025 ,Haryana ,Hisar    , 125044 ,           7 ,         13
