date,state,district,pincode,bio_age_5_17,bio_age_17_
16-10-2025,Sikkim,East Sikkim,737106,2,0
28-10-2025,Sikkim,East Sikkim,737102,1,1
28-10-2025,Sikkim,East Sikkim,737134,1,0
31-10-2025,Sikkim,East Sikkim,737133,1,0
31-10-2025,Sikkim,East Sikkim,737134,1,1
04-11-2025,Sikkim,East Sikkim,737102,3,2
04-11-2025,Sikkim,East Sikkim,737106,1,0
05-11-2025,Sikkim,East Sikkim,737133,2,2
05-11-2025,Sikkim,East Sikkim,737134,6,1
17-10-2025,Sikkim,East Sikkim,737103,1,1
24-10-2025,Sikkim,East Sikkim,737107,1,0
03-11-2025,Sikkim,East Sikkim,737102,1,2
01-11-2025,Sikkim,East Sikkim,737106,2,0
01-11-2025,Sikkim,East Sikkim,737131,2,0
21-08-2025,Sikkim,East Sikkim,737107,1,0
21-08-2025,Sikkim,East Sikkim,737135,2,0
22-08-2025,Sikkim,East Sikkim,737135,1,0
29-08-2025,Sikkim,East Sikkim,737106,0,1
29-08-2025,Sikkim,East Sikkim,737134,2,3
30-08-2025,Sikkim,East Sikkim,737101,6,0
20-09-2025,Sikkim,East Sikkim,737101,15,3
20-09-2025,Sikkim,East Sikkim,737135,0,3
16-08-2025,Sikkim,East Sikkim,737103,1,0
11-08-2025,Sikkim,East Sikkim,737101,2,1
11-08-2025,Sikkim,East Sikkim,737103,0,1
11-08-2025,Sikkim,East Sikkim,737134,3,3
08-08-2025,Sikkim,East Sikkim,737102,1,0
26-08-2025,Sikkim,East Sikkim,737103,0,1
06-08-2025,Sikkim,East Sikkim,737133,0,2
15-09-2025,Sikkim,East Sikkim,737102,0,3
15-09-2025,Sikkim,East Sikkim,737106,1,1
13-09-2025,Sikkim,East Sikkim,737106,1,0
13-09-2025,Sikkim,East Sikkim,737134,1,1
29-09-2025,Sikkim,East Sikkim,737107,1,0
11-11-2025,Sikkim,East Sikkim,737106,1,0
14-11-2025,Sikkim,East Sikkim,737101,7,2
14-11-2025,Sikkim,East Sikkim,737132,2,0
07-11-2025,Sikkim,East Sikkim,737131,1,1
08-11-2025,Sikkim,East Sikkim,737103,1,1
06-11-2025,Sikkim,East Sikkim,737132,3,0
06-11-2025,Sikkim,East Sikkim,737134,4,0
06-11-2025,Sikkim,East Sikkim,737135,11,0
13-11-2025,Sikkim,East Sikkim,737101,20,1
12-11-2025,Sikkim,East Sikkim,737103,3,1
12-11-2025,Sikkim,East Sikkim,737132,0,1
19-11-2025,Sikkim,East Sikkim,737101,12,4
19-11-2025,Sikkim,East Sikkim,737103,12,2
19-11-2025,Sikkim,East Sikkim,737132,1,0
22-11-2025,Sikkim,East Sikkim,737101,5,0
22-11-2025,Sikkim,East Sikkim,737106,1,0
18-08-2025,Sikkim,East Sikkim,737101,0,2
18-08-2025,Sikkim,East Sikkim,737132,1,0
23-08-2025,Sikkim,East Sikkim,737134,0,1
27-08-2025,Sikkim,East Sikkim,737135,2,0
19-08-2025,Sikkim,East Sikkim,737101,1,3
02-09-2025,Sikkim,East Sikkim,737101,2,1
02-09-2025,Sikkim,East Sikkim,737135,0,1
12-08-2025,Sikkim,East Sikkim,737106,0,2
13-08-2025,Sikkim,East Sikkim,737107,0,1
13-08-2025,Sikkim,East Sikkim,737132,1,0
16-09-2025,Sikkim,East Sikkim,737106,1,0
06-09-2025,Sikkim,East Sikkim,737135,0,2
05-09-2025,Sikkim,East Sikkim,737134,3,3
04-09-2025,Sikkim,East Sikkim,737103,2,3
12-09-2025,Sikkim,East Sikkim,737132,2,0
22-09-2025,Sikkim,East Sikkim,737135,1,1
15-11-2025,Sikkim,East Sikkim,737101,4,0
17-11-2025,Sikkim,East Sikkim,737103,2,0
20-11-2025,Sikkim,East Sikkim,737133,0,1
25-11-2025,Sikkim,East Sikkim,737101,2,6
25-11-2025,Sikkim,East Sikkim,737106,0,2
24-11-2025,Sikkim,East Sikkim,737134,1,2
24-11-2025,Sikkim,East Sikkim,737135,0,1
26-11-2025,Sikkim,East Sikkim,737135,3,1
27-11-2025,Sikkim,East Sikkim,737101,0,1
27-11-2025,Sikkim,East Sikkim,737133,0,1
08-06-2025,Sikkim,East Sikkim,737132,0,1
07-06-2025,Sikkim,East Sikkim,737103,0,2
02-06-2025,Sikkim,East Sikkim,737138,0,2
22-06-2025,Sikkim,East Sikkim,737106,0,1
22-06-2025,Sikkim,East Sikkim,737135,0,1
18-10-2025,Sikkim,East Sikkim,737132,0,1
04-06-2025,Sikkim,East Sikkim,737102,0,4
13-06-2025,Sikkim,East Sikkim,737107,0,1
12-06-2025,Sikkim,East Sikkim,737133,0,3
23-05-2025,Sikkim,East Sikkim,737135,0,4
20-06-2025,Sikkim,East Sikkim,737107,0,1
20-06-2025,Sikkim,East Sikkim,737133,0,2
19-06-2025,Sikkim,East Sikkim,737135,0,2
27-06-2025,Sikkim,East Sikkim,737107,0,3
26-05-2025,Sikkim,East Sikkim,737107,0,2
26-05-2025,Sikkim,East Sikkim,737131,1,4
01-06-2025,Sikkim,East Sikkim,737135,0,1
28-05-2025,Sikkim,East Sikkim,737106,0,1
29-05-2025,Sikkim,East Sikkim,737106,1,0
20-05-2025,Sikkim,East Sikkim,737103,2,0
21-05-2025,Sikkim,East Sikkim,737102,1,1
27-05-2025,Sikkim,East Sikkim,737106,2,1
30-05-2025,Sikkim,East Sikkim,737106,2,1
03-06-2025,Sikkim,East Sikkim,737102,0,2
03-06-2025,Sikkim,East Sikkim,737135,3,1
31-05-2025,Sikkim,East Sikkim,737102,2,0
31-05-2025,Sikkim,East Sikkim,737131,3,0
04-06-2025,Sikkim,East Sikkim,737101,0,1
05-06-2025,Sikkim,East Sikkim,737103,0,2
05-06-2025,Sikkim,East Sikkim,737134,2,1
25-05-2025,Sikkim,East Sikkim,737106,5,0
25-05-2025,Sikkim,East Sikkim,737134,3,0
28-05-2025,Sikkim,East Sikkim,737131,1,0
02-06-2025,Sikkim,East Sikkim,737131,1,3
02-06-2025,Sikkim,East Sikkim,737133,0,2
02-06-2025,Sikkim,East Sikkim,737134,5,3
02-06-2025,Sikkim,East Sikkim,737135,2,1
07-06-2025,Sikkim,East Sikkim,737134,2,1
26-10-2025,Sikkim,East Sikkim,737102,1,0
22-10-2025,Sikkim,East Sikkim,737101,0,1
21-10-2025,Sikkim,East Sikkim,737102,0,3
30-09-2025,Sikkim,East Sikkim,737134,1,0
17-10-2025,Sikkim,East Sikkim,737106,2,2
17-10-2025,Sikkim,East Sikkim,737132,0,1
17-10-2025,Sikkim,East Sikkim,737133,0,2
03-10-2025,Sikkim,East Sikkim,737103,0,1
27-09-2025,Sikkim,East Sikkim,737132,0,1
03-09-2025,Sikkim,East Sikkim,737107,0,4
08-09-2025,Sikkim,East Sikkim,737103,0,5
05-09-2025,Sikkim,East Sikkim,737131,0,3
06-09-2025,Sikkim,East Sikkim,737134,0,2
02-09-2025,Sikkim,East Sikkim,737138,1,0
29-08-2025,Sikkim,East Sikkim,737132,0,3
29-08-2025,Sikkim,East Sikkim,737135,0,3
30-08-2025,Sikkim,East Sikkim,737107,0,1
24-08-2025,Sikkim,East Sikkim,737134,0,1
25-08-2025,Sikkim,East Sikkim,737107,0,4
25-08-2025,Sikkim,East Sikkim,737134,0,3
26-08-2025,Sikkim,East Sikkim,737138,0,1
28-08-2025,Sikkim,East Sikkim,737107,0,2
19-08-2025,Sikkim,East Sikkim,737103,0,4
22-08-2025,Sikkim,East Sikkim,737134,0,2
12-10-2025,Sikkim,East Sikkim,737101,0,2
11-10-2025,Sikkim,East Sikkim,737106,0,2
10-10-2025,Sikkim,East Sikkim,737139,0,1
23-08-2025,Sikkim,East Sikkim,737135,0,1
18-08-2025,Sikkim,East Sikkim,737138,0,2
24-07-2025,Sikkim,East Sikkim,737103,0,1
24-07-2025,Sikkim,East Sikkim,737107,0,3
24-07-2025,Sikkim,East Sikkim,737134,1,0
25-07-2025,Sikkim,East Sikkim,737101,1,0
25-07-2025,Sikkim,East Sikkim,737132,0,1
28-07-2025,Sikkim,East Sikkim,737135,1,0
16-07-2025,Sikkim,East Sikkim,737134,2,1
18-07-2025,Sikkim,East Sikkim,737107,0,1
17-07-2025,Sikkim,East Sikkim,737134,1,0
19-07-2025,Sikkim,East Sikkim,737101,2,1
19-07-2025,Sikkim,East Sikkim,737102,2,1
27-06-2025,Sikkim,East Sikkim,737102,1,2
05-07-2025,Sikkim,East Sikkim,737101,1,1
05-07-2025,Sikkim,East Sikkim,737131,1,1
20-06-2025,Sikkim,East Sikkim,737134,1,2
21-06-2025,Sikkim,East Sikkim,737103,0,1
04-07-2025,Sikkim,East Sikkim,737133,1,1
23-07-2025,Sikkim,East Sikkim,737102,0,2
23-07-2025,Sikkim,East Sikkim,737132,1,0
16-06-2025,Sikkim,East Sikkim,737132,0,1
16-06-2025,Sikkim,East Sikkim,737135,0,1
17-06-2025,Sikkim,East Sikkim,737133,0,1
28-06-2025,Sikkim,East Sikkim,737135,0,1
30-06-2025,Sikkim,East Sikkim,737133,1,0
13-06-2025,Sikkim,East Sikkim,737101,1,1
13-06-2025,Sikkim,East Sikkim,737131,1,2
01-07-2025,Sikkim,East Sikkim,737132,1,1
01-07-2025,Sikkim,East Sikkim,737133,0,1
02-07-2025,Sikkim,East Sikkim,737131,2,1
02-07-2025,Sikkim,East Sikkim,737132,3,0
14-07-2025,Sikkim,East Sikkim,737135,0,3
18-06-2025,Sikkim,East Sikkim,737101,0,1
19-06-2025,Sikkim,East Sikkim,737131,0,2
19-06-2025,Sikkim,East Sikkim,737134,0,2
03-07-2025,Sikkim,East Sikkim,737102,2,0
12-06-2025,Sikkim,East Sikkim,737101,1,4
12-06-2025,Sikkim,East Sikkim,737134,1,2
12-06-2025,Sikkim,East Sikkim,737135,0,2
10-06-2025,Sikkim,East Sikkim,737131,1,0
26-06-2025,Sikkim,East Sikkim,737101,1,3
25-06-2025,Sikkim,East Sikkim,737103,1,1
08-07-2025,Sikkim,East Sikkim,737107,0,2
08-07-2025,Sikkim,East Sikkim,737132,2,0
08-07-2025,Sikkim,East Sikkim,737134,2,3
08-07-2025,Sikkim,East Sikkim,737135,1,2
07-07-2025,Sikkim,East Sikkim,737106,2,0
22-07-2025,Sikkim,East Sikkim,737101,1,2
22-07-2025,Sikkim,East Sikkim,737102,0,2
22-07-2025,Sikkim,East Sikkim,737131,1,1
22-07-2025,Sikkim,East Sikkim,737135,1,1
21-07-2025,Sikkim,East Sikkim,737106,1,1
21-07-2025,Sikkim,East Sikkim,737131,0,3
21-07-2025,Sikkim,East Sikkim,737135,3,2
30-07-2025,Sikkim,East Sikkim,737134,3,0
29-07-2025,Sikkim,East Sikkim,737135,0,1
31-07-2025,Sikkim,East Sikkim,737131,0,2
31-07-2025,Sikkim,East Sikkim,737133,0,1
04-08-2025,Sikkim,East Sikkim,737101,1,0
05-08-2025,Sikkim,East Sikkim,737102,1,2
13-12-2025,Sikkim,East Sikkim,737101,2,1
13-12-2025,Sikkim,East Sikkim,737102,4,2
13-12-2025,Sikkim,East Sikkim,737133,1,0
12-12-2025,Sikkim,East Sikkim,737107,1,0
15-12-2025,Sikkim,East Sikkim,737102,2,0
03-12-2025,Sikkim,East Sikkim,737135,1,0
02-12-2025,Sikkim,East Sikkim,737102,1,3
04-12-2025,Sikkim,East Sikkim,737132,1,2
08-12-2025,Sikkim,East Sikkim,737101,1,2
08-12-2025,Sikkim,East Sikkim,737106,2,2
28-11-2025,Sikkim,East Sikkim,737101,1,0
28-11-2025,Sikkim,East Sikkim,737132,3,0
16-12-2025,Sikkim,East Sikkim,737101,4,1
05-12-2025,Sikkim,East Sikkim,737101,2,0
06-12-2025,Sikkim,East Sikkim,737106,1,0
06-12-2025,Sikkim,East Sikkim,737133,1,1
09-12-2025,Sikkim,East Sikkim,737102,0,2
10-12-2025,Sikkim,East Sikkim,737103,2,0
11-12-2025,Sikkim,East Sikkim,737102,1,1
